iter	Logloss
0	0.667043532
1	0.6462627373
2	0.6258464684
3	0.6039770417
4	0.5839862679
5	0.5694588463
6	0.5564976524
7	0.545333385
8	0.5342900837
9	0.5261365881
10	0.5185220366
11	0.5108228567
12	0.5030423719
13	0.4981039772
14	0.4931259161
15	0.4882019871
16	0.4826428095
17	0.4772348917
18	0.4748252708
19	0.4697884997
20	0.4662904242
21	0.4636176035
22	0.4614824536
23	0.4573163341
24	0.4543937006
25	0.4512495295
26	0.4494579279
27	0.4476723771
28	0.4451684998
29	0.4425979914
30	0.4404977743
31	0.4388056182
32	0.4369880743
33	0.4354175124
34	0.4333561171
35	0.4307326876
36	0.4291932529
37	0.4276844801
38	0.4266037537
39	0.4242208343
40	0.4229852898
41	0.4210818233
42	0.4196269035
43	0.4178181613
44	0.416843848
45	0.4153824191
46	0.4140007598
47	0.4121256277
48	0.4096137123
49	0.4078839199
50	0.4068142369
51	0.4050455294
52	0.4039094463
53	0.403070607
54	0.4022402194
55	0.4012864066
56	0.4002281572
57	0.3983934885
58	0.3968649979
59	0.3961092567
60	0.3952441497
61	0.3939784403
62	0.3931692011
63	0.3920919807
64	0.3912432563
65	0.3902155039
66	0.3892355436
67	0.3884250055
68	0.3875997803
69	0.3861072429
70	0.385443732
71	0.3843054084
72	0.3838577328
73	0.3828298095
74	0.3816843667
75	0.3806613666
76	0.3799320894
77	0.3785246607
78	0.3777804467
79	0.3767654078
80	0.3755376681
81	0.3746119598
82	0.3735994966
83	0.372174078
84	0.3713987898
85	0.3708155065
86	0.3692805123
87	0.3681079773
88	0.3675760944
89	0.3669182735
90	0.3661195226
91	0.3653861556
92	0.3645359649
93	0.3636795313
94	0.3629775065
95	0.3625290139
96	0.3611373481
97	0.3605960944
98	0.3597460351
99	0.3597318848
100	0.3588992355
101	0.3579104413
102	0.3574016037
103	0.3567714683
104	0.3561603684
105	0.3549454522
106	0.3541641112
107	0.3536681503
108	0.352878245
109	0.3525466547
110	0.3521037721
111	0.3514257583
112	0.3509075111
113	0.3504076729
114	0.349526674
115	0.349082164
116	0.3483028264
117	0.3477842826
118	0.347089428
119	0.3462339828
120	0.3457590571
121	0.3449018551
122	0.3443321828
123	0.3437604085
124	0.3426587608
125	0.3415658895
126	0.3411254484
127	0.3402169421
128	0.3396909974
129	0.3386088355
130	0.338060964
131	0.337529225
132	0.3367403914
133	0.3361201862
134	0.3351542243
135	0.3343543601
136	0.3339112759
137	0.3333977346
138	0.3324221335
139	0.3311656493
140	0.3300479176
141	0.3290014636
142	0.3281398208
143	0.3272777508
144	0.3266532543
145	0.3259494509
146	0.325821966
147	0.3255153163
148	0.3248801918
149	0.3240136916
150	0.3233201301
151	0.3225352036
152	0.3220996364
153	0.3214737436
154	0.3202353397
155	0.3194330698
156	0.3186634947
157	0.3176733588
158	0.3163028908
159	0.3151265331
160	0.3141783822
161	0.3137852943
162	0.31234759
163	0.3117966554
164	0.3108276804
165	0.3103060919
166	0.3096405133
167	0.3088095753
168	0.30727758
169	0.306656331
170	0.3061903278
171	0.3053258601
172	0.3046364073
173	0.3040626317
174	0.3036655059
175	0.3027970335
176	0.3022429478
177	0.3011442747
178	0.300117172
179	0.2993122293
180	0.2984354293
181	0.2978186851
182	0.2965525186
183	0.2956321978
184	0.2950289444
185	0.2946374012
186	0.293609276
187	0.2928855187
188	0.2920258147
189	0.2909515043
190	0.2902320848
191	0.2891758121
192	0.2884280854
193	0.2873882604
194	0.2861033065
195	0.285277913
196	0.2845954139
197	0.2838672431
198	0.28226494
199	0.2813415689
200	0.2808181568
201	0.2800485115
202	0.2793900737
203	0.2784526166
204	0.2776149849
205	0.2768464152
206	0.2759795433
207	0.2752467066
208	0.2741621755
209	0.2734512058
210	0.2725038209
211	0.2717618267
212	0.2710278797
213	0.2703572339
214	0.2693318669
215	0.268663817
216	0.2678996103
217	0.2673256875
218	0.2664136861
219	0.2657144921
220	0.2652136761
221	0.2646854112
222	0.264015624
223	0.2635361611
224	0.2629458025
225	0.2624635365
226	0.2614351718
227	0.2609237371
228	0.2601456143
229	0.2596044803
230	0.258987294
231	0.2579552341
232	0.2573985772
233	0.2565187355
234	0.2555713052
235	0.2548007107
236	0.2540208993
237	0.2531176217
238	0.2524256456
239	0.2517662535
240	0.2510937187
241	0.2503844964
242	0.2497232608
243	0.2488048065
244	0.2481575667
245	0.2474612146
246	0.2469805925
247	0.2463901492
248	0.2456681483
249	0.2448431459
250	0.2443624916
251	0.2438070245
252	0.2432169621
253	0.2422696895
254	0.2416380824
255	0.2409266511
256	0.2402071825
257	0.2395869149
258	0.2385398916
259	0.2380705781
260	0.2377019197
261	0.2371552008
262	0.2363351342
263	0.2355444633
264	0.2350097071
265	0.2344814422
266	0.233701522
267	0.232690997
268	0.2323303341
269	0.2317346953
270	0.2313449559
271	0.2307421099
272	0.2301281402
273	0.2296727646
274	0.2290718592
275	0.2286702184
276	0.2280971658
277	0.22755957
278	0.2271254878
279	0.226645418
280	0.2259340183
281	0.2254171359
282	0.2249423826
283	0.2242374537
284	0.2235720935
285	0.2232471874
286	0.2227765457
287	0.2221155231
288	0.2216273633
289	0.2212353518
290	0.220755638
291	0.2203827585
292	0.219978709
293	0.2195370111
294	0.2192278909
295	0.2188827596
296	0.2183760077
297	0.2178679695
298	0.2173914861
299	0.217026026
300	0.2165036057
301	0.2161230967
302	0.2158737442
303	0.2153186041
304	0.2148377266
305	0.2143335463
306	0.2135491624
307	0.2131066767
308	0.2127580391
309	0.212227385
310	0.2118602048
311	0.2113940607
312	0.2111050453
313	0.2107107964
314	0.2102591456
315	0.2096369868
316	0.2090951244
317	0.2086851743
318	0.2084361008
319	0.2080996257
320	0.2076877102
321	0.2073417046
322	0.2068290526
323	0.2064050756
324	0.2058697314
325	0.205452074
326	0.2050350853
327	0.2045955123
328	0.204349202
329	0.2039245448
330	0.2033366398
331	0.202818736
332	0.2024150734
333	0.2021653957
334	0.2017519356
335	0.2015315005
336	0.2011011935
337	0.2006410384
338	0.2002809095
339	0.1998912293
340	0.1994711154
341	0.1990159884
342	0.1984451867
343	0.1979640838
344	0.1976229996
345	0.197243926
346	0.196840395
347	0.1965155406
348	0.1962922589
349	0.1959143699
350	0.1953644862
351	0.1947007713
352	0.1943536195
353	0.1939304236
354	0.1935220863
355	0.1932365057
356	0.1928803883
357	0.1924458778
358	0.1919704603
359	0.1916387257
360	0.1911935409
361	0.1907425601
362	0.1902406571
363	0.1898847138
364	0.1893977573
365	0.1889748276
366	0.1886629206
367	0.1881831394
368	0.1878154696
369	0.1873531099
370	0.1870041108
371	0.1865747676
372	0.1862595043
373	0.1858443334
374	0.1853468696
375	0.1850080828
376	0.184735434
377	0.1840671793
378	0.183828863
379	0.1835745484
380	0.1831918868
381	0.1829126648
382	0.1826314363
383	0.1819905654
384	0.1818489747
385	0.1814980649
386	0.1811971354
387	0.1808552447
388	0.1801972605
389	0.1798436587
390	0.1790881304
391	0.1788466688
392	0.1784350942
393	0.1781849767
394	0.1779104598
395	0.1775468076
396	0.1770984732
397	0.176800872
398	0.1765936054
399	0.1762382709
400	0.1758701939
401	0.1755863281
402	0.1752207779
403	0.1748653169
404	0.1745214337
405	0.1741145937
406	0.1738613394
407	0.1734139025
408	0.1731924271
409	0.172812309
410	0.1724855485
411	0.1722679925
412	0.1718450528
413	0.1714349899
414	0.1712027633
415	0.1708676148
416	0.1706181656
417	0.1703183149
418	0.1699336336
419	0.169710095
420	0.1692848744
421	0.1690157628
422	0.1687821153
423	0.16856133
424	0.1683609425
425	0.1680869093
426	0.1677328513
427	0.1673585972
428	0.1671957202
429	0.1668765218
430	0.1665156038
431	0.1659864516
432	0.1656523285
433	0.1653563397
434	0.1647857048
435	0.1644377031
436	0.164208778
437	0.1640332506
438	0.1637973697
439	0.163624325
440	0.1633901715
441	0.1631412387
442	0.1628379797
443	0.1626569697
444	0.1624477885
445	0.1622486834
446	0.1617552453
447	0.1613923048
448	0.1611295052
449	0.1607729498
450	0.1605672334
451	0.1603007877
452	0.1600589699
453	0.1597190657
454	0.1594586802
455	0.1590412975
456	0.1587025582
457	0.1585097231
458	0.1583264437
459	0.157879474
460	0.1576409568
461	0.1573884159
462	0.1571686369
463	0.1568728595
464	0.15664611
465	0.156453435
466	0.1562555699
467	0.155944902
468	0.1556751177
469	0.155506603
470	0.155190673
471	0.1549542191
472	0.1545804472
473	0.1543585143
474	0.1540231052
475	0.1538462337
476	0.1537070752
477	0.1535113988
478	0.1532231937
479	0.1530215379
480	0.1528120194
481	0.1524612057
482	0.1522770964
483	0.1520456735
484	0.1518672534
485	0.1516458394
486	0.151310606
487	0.1509313762
488	0.1507656887
489	0.1504177032
490	0.1501280609
491	0.1498520091
492	0.1494243443
493	0.1491739117
494	0.1489853555
495	0.1487846247
496	0.1484850008
497	0.1483154809
498	0.1481080339
499	0.1479344431
500	0.1477347774
501	0.1476097795
502	0.1473900941
503	0.1471499538
504	0.1468869802
505	0.1466702095
506	0.1464594533
507	0.1463111582
508	0.1461147097
509	0.1459645315
510	0.1456344753
511	0.1454259576
512	0.1451492596
513	0.1449079395
514	0.1445989116
515	0.144261704
516	0.1439643101
517	0.1436833246
518	0.1433887287
519	0.1432087885
520	0.1429852226
521	0.1428451134
522	0.1427286649
523	0.1424584219
524	0.1423547514
525	0.142113737
526	0.1417654362
527	0.1415012967
528	0.1412157195
529	0.1409823407
530	0.140831613
531	0.1405525555
532	0.1402500366
533	0.1398659036
534	0.1395770802
535	0.1393747185
536	0.1391835744
537	0.1388944979
538	0.1386960921
539	0.1384637569
540	0.1382797862
541	0.1381650036
542	0.1380735299
543	0.1378069298
544	0.1374463676
545	0.1370185354
546	0.1368257602
547	0.1366696402
548	0.1364696735
549	0.1362948536
550	0.1361247412
551	0.1358791685
552	0.135764835
553	0.1355432838
554	0.1354091772
555	0.1351797448
556	0.1350668434
557	0.1348638144
558	0.1347524379
559	0.134603919
560	0.1344718019
561	0.1342709975
562	0.1340631645
563	0.1338454325
564	0.1336347849
565	0.1334033158
566	0.1332313502
